b2	 RealTimeAsk
b3	 BidRealTime
c6	 RealTimeChange
c8	 RealTimeAfterHoursChange
g5	 RealTimeHoldingsGainPercent
g6	 RealTimeHoldingsGain
i5	 RealTimeOrderBook
j3	 RealTimeMarketCap	
k1	 RealTimeLastTradeWithTime
k2	 RealTimeChangePercent
m2	 RealTimeTodaysRange
r2	 RealTimePERatio
v7	 RealTimeHoldingsValue
w4	 RealTimeDaysValueChange
a	 Ask
a5	 AskSize
v	 Volume
a2	 VolumeAverageDaily	
b	 Bid	
b6	 BidSize	
b4	 BookValue	
c1	 Change	
p2	 ChangeAsPercent
c	 ChangeAndPercentChange
w1	 ChangeOfTodaysValue
j5	 ChangeFromFiftyWeekLow
j6	 ChangeFromFiftyTwoWeekLowAsPercent
k4	 ChangeFromFiftyTwoWeekHigh
k5	 ChangeFromFiftyTwoWeekHighAsPercent
m5	 ChangeFromTwoHundredDayMovingAverage	
m6	 ChangeFromTwoHundredDayMovingAverageAsPercent
m7	 ChangeFromFiftyDayMovingAverage
m8	 ChangeFromFiftyDayMovingAverageAsPercent
c3	 Commission	
d	 DividendPerShare	
d2	 TradeDate	
k3	 LatestTradeSize
l	 LatestTradeWithTime
l1	 LatestTradePrice
d1	 LatestTradeDate
t1	 LatestTradeTime
e	 EPS
e1	 ErrorIndication
e7	 EPSEstimateCurrentYear	
e8	 EPSEstimateNextYear	
e9	 EPSEstimateNextQuarter
f6	 FloatShares	
g	 LowForTodays
j	 FiftyTwoWeekLow
h	 TodaysHigh
k	 FiftyTwoWeekHigh	
g1	 HoldingsGainAsPercent
g3	 AnnualizedGain	
g4	 HoldingsGain
i	 MoreInfo	
j1	 MarketCap	
j4	 EBITDA		
l2	 HighLimit	
l3	 LowLimit	
m	 TodaysDaysRange
m3	 FiftyDayMovingAverage	
m4	 TwoHundredDayMovingAverage
n	 Name	
n4	 Notes
o	 Open	
p	 PreviousClose	
p1	 PricePaid
p5	 PriceSales	
p6	 PriceBook
q	 ExDividendDate	
r	 PERatio
r1	 DividendPayDate
r5	 PEGRatio	
r6	 PriceEPSEstimateCurrentYear
r7	 PriceEPSEstimateNextYear	
s	 Symbol	
s1	 SharesOwned
s7	 ShortRatio
t6	 TradeLinks
t7	 TickerTrend	
t8	 OneYearTargetPrice
v1	 HoldingsValue	
w	 FiftyTwoWeekRange
x	 StockExchange
y	 DividendYield		
